(574,)
(19936,)
(15357,)
(7364,)
(11,)
(7413,)
(68,)
(84424,)
(84425,)
(86352,)
(87857,)
(87858,)
(19108,)
(23644,)
(12536,)
(11858,)
(14604,)
(19750,)
(34530,)
(83644,)
(83645,)
(93408,)
(6687,)
(7297,)
(20154,)
(54850,)
(26282,)
(20011,)
(462,)
(55512,)
(19231,)
(375,)
(69485,)
(73951,)
(73952,)
(19107,)
(76266,)
(23419,)
(8870,)
(13796,)
(52660,)
(10262,)
(11347,)
(11348,)
(11349,)
(79026,)
(79027,)
(23202,)
(80461,)
(13480,)
(7470,)
(691,)
(76069,)
(3200,)
(31825,)
(31826,)
(5237,)
(19355,)
(19478,)
(19479,)
(19480,)
(19482,)
(19483,)
(21904,)
(21905,)
(21906,)
(766,)
(26265,)
(61409,)
(348,)
(20938,)
(23243,)
(23434,)
(7829,)
(11080,)
(11082,)
(11083,)
(19621,)
(16280,)
(65514,)
(65515,)
(7381,)
(12205,)
(49512,)
(47706,)
(2300,)
(12248,)
(33817,)
(47479,)
(6100,)
(385,)
(43910,)
(780,)
(631,)
(11346,)
(8908,)
(8909,)
(79209,)
(549,)
(22182,)
(24136,)
(24137,)
(24138,)
(46506,)
(46507,)
(14179,)
(455,)
(458,)
(27584,)
(40955,)
(40956,)
(19267,)
(20346,)
(33250,)
(33251,)
(33252,)
(33253,)
(33254,)
(33255,)
(2203,)
(8858,)
(15433,)
(41042,)
(59725,)
(60658,)
(11429,)
(22969,)
(22970,)
(23271,)
(23272,)
(17032,)
(3683,)
(11353,)
(1522,)
(19934,)
(3982,)
(19238,)
(6817,)
(6818,)
(53005,)
(53006,)
(2721,)
(23420,)
(57435,)
(57436,)
(36212,)
(46961,)
(8758,)
(8759,)
(7923,)
(194,)
(195,)
(47586,)
(54050,)
(54051,)
(54052,)
(6732,)
(62693,)
(2116,)
(2875,)
(60682,)
(11463,)
(11537,)
(57421,)
(4081,)
(25120,)
(76466,)
(8299,)
(5521,)
(26107,)
(11307,)
(57408,)
(57409,)
(41248,)
(41096,)
(39121,)
(22123,)
(38504,)
(1232,)
(12000,)
(76911,)
(516,)
(517,)
(518,)
(11232,)
(11233,)
(11234,)
(5257,)
(12180,)
(15762,)
(15764,)
(367,)
(23660,)
(10898,)
(11583,)
(11584,)
(369,)
(10231,)
(23300,)
(9194,)
(34035,)
(34036,)
(26387,)
(23889,)
(79031,)
(1519,)
(10164,)
(27467,)
(23449,)
(50482,)
(81128,)
(16880,)
(20244,)
(12196,)
(12197,)
(12198,)
(58333,)
(58334,)
(53638,)
(23689,)
(23690,)
(23691,)
(991,)
(10880,)
(2257,)
(5120,)
(77882,)
(77883,)
(1089,)
(68620,)
(18208,)
(476,)
(2243,)
(1550,)
(265,)
(6,)
(50830,)
(2748,)
(66739,)
(66740,)
(5585,)
(282,)
(283,)
(11451,)
(11452,)
(1206,)
(21938,)
(7286,)
(11244,)
(11359,)
(12001,)
(53007,)
(53008,)
(4267,)
(20448,)
(6666,)
(21897,)
(22610,)
(22611,)
(1350,)
(47502,)
(54392,)
(2019,)
(11804,)
(20669,)
(8833,)
(523,)
(524,)
(7693,)
(14941,)
(78806,)
(120,)
(18309,)
(21632,)
(53490,)
(53491,)
(592,)
(4411,)
(23446,)
(25020,)
(30994,)
(23873,)
(7270,)
(21122,)
(34725,)
(4028,)
(4029,)
(4030,)
(57946,)
(23046,)
(3491,)
(7717,)
(60714,)
(10619,)
(4424,)
(59972,)
(88686,)
(179,)
(17106,)
(17929,)
(31073,)
(68621,)
(12235,)
(12193,)
(12204,)
(2428,)
(22880,)
(6747,)
(182,)
(2604,)
(250,)
(260,)
(266,)
(268,)
(269,)
(271,)
(4247,)
(19150,)
(31087,)
(71170,)
(71171,)
(8877,)
(8878,)
(1704,)
(22814,)
(582,)
(6639,)
(7116,)
(8530,)
(6438,)
(10342,)
(11726,)
(11847,)
(11849,)
(20193,)
(34557,)
(34558,)
(44485,)
(17491,)
(17492,)
(270,)
(315,)
(12346,)
(90511,)
(26663,)
(916,)
(205,)
(734,)
(72823,)
(72824,)
(18919,)
(18920,)
(18921,)
(18922,)
(4286,)
(65394,)
(8504,)
(20667,)
(20668,)
(1656,)
(10261,)
(32157,)
(8531,)
(24785,)
(412,)
(28048,)
(1514,)
(1515,)
(33681,)
(22107,)
(2956,)
(54512,)
(2927,)
(6320,)
(20377,)
(27349,)
(11252,)
(2130,)
(93156,)
(12365,)
(86,)
(3801,)
(63924,)
(63925,)
(572,)
(21518,)
(722,)
(5798,)
(311,)
(793,)
(11402,)
(12012,)
(17873,)
(12029,)
(538,)
(6179,)
(6752,)
(3396,)
(78958,)
(78959,)
(21962,)
(1256,)
(1766,)
(33772,)
(18188,)
(10531,)
(15395,)
(5646,)
(11503,)
(33680,)
(10138,)
(27351,)
(23614,)
(65781,)
(23890,)
(60611,)
